Column1;_8;_9
コート;寒いのでコートを着なければなりません。;Puisqu'il fait froid, je dois porter un manteau.
エアコン;寝室[へや]のエアコンをつけてもらえますか？;Pouvez-vous allumer le climatiseur dans la chambre ?
イラスト;"将来[しょうらい;a] イラスト[;h] の 仕事[しごと;h] が したい[,する;h] です 。";À l'avenir, je veux avoir un travail lié à l'illustration.
さん;山田[やまだ]さんです。;C'est Monsieur Yamada.
ホール;市[し]のホールで、よくコンサートが 開[ひら]かれる。;Des concerts ont souvent lieu à la mairie.
カット;市長[しちょう]がテープをカットした。;Le maire a coupé le ruban. (lors d'une cérémonie pour l'ouverture d'un bâtiment par exemple).
プロバイダー;引っ越[ひっこ]ししたので、プロバイダーに 連絡[れんらく]した。;J'ai déménagé, j'ai donc contacté le fournisseur d'accès Internet.
フリーター;弟[おとうと]は 大学[だいがく]を 卒業[そつぎょう]してからずっとフリーターだ。;Mon frère cadet est un freeter depuis qu'il est diplômé de l'université.
ロボット;彼[かれ] は[わ]ロボットの 研究[けんきゅう]をしています。;Il fait des recherches sur les robots.
パス;彼[かれ]が 試験[しけん]にパスしたのは 不思議[ふしぎ]ではない。;Il n'est pas étonnant qu'il ait réussi l'examen.
エアメール;彼[かれ]にエアメールを 送[おく]りました。;Je lui ai envoyé un courrier aéropostal.
アドバイス;彼[かれ]のアドバイスはいつも 有[あ]り 難[がた]いわね。;J'apprécie toujours ses conseils.
エラー;彼[かれ]のエラーがなかったなら 我[われわれ]々は 勝[か]てたのだが。;S'il n'avait pas commis d'erreur, nous aurions gagné.
サッカー;彼[かれ]は １時間[いちじかん] サッカーをしている。;Il joue au football depuis une heure.
テクニック;彼[かれ]は 優[すぐ]れたテクニックの 持ち主[もちぬし]です;Il a une excellente technique.
グラフ;彼[かれ]は 売上[うりあげ]をグラフにした。;Il a réalisé une représentation graphique des chiffres de ventes.
リード;彼[かれ]は 彼女[かのじょ]をリードしながら 踊[おど]ったね。;Il conduisait sa partenaire dans la danse.
センス;彼[かれ]は 服装[ふくそう]のセンスはないようだ;Il semble n'avoir aucun goût de tenue vestimentaire.
ケチ;彼[かれ]は 金持[かねも]ちだけど、けちね。;He is rich but stingy.
マンション;彼[かれ]は[わ]マンションに 住[す]んでいます。;Il vit dans une résidence.
イギリス;彼[かれ]はイギリスにいます。;Il est en Angleterre.
くよくよ;彼[かれ]はいつまでもくよくよ 悩[なや]んでいた。;Il ne cessait de broyer du noir.
ピッチャー;彼[かれ]はエースピッチャーです。;Il est un lanceur hors pair. (terme du base ball)
オートバイ;彼[かれ]はオートバイに 乗[の]っている。;Il conduit une moto.
グルメ;彼[かれ]はグルメで、 色々[いろいろ]な 店[みせ]を 知[し]っている。;C'est un fin gourmet, donc il connaît de nombreux restaurants.
レギュラー;彼[かれ]はサッカーチームのレギュラー 選手[せんしゅ]です;Il est régulièrement titulaire de l'équipe de football.
しょっちゅう;彼[かれ]はしょっちゅう 遅刻[ちこく]しているな。;Il est souvent en retard.
プロ;彼[かれ]はスケートのプロです。;C'est un patineur professionnel.
ステレオ;彼[かれ]はステレオで 音楽[おんがく]を 聞[き]いた。;Il écoutait de la musique sur la chaîne stéréo.
スター;彼[かれ]はそのときスターだったよ。;Il était une star à l'époque.
チーム;彼[かれ]はチームの 一員[いちいん]です。;Il est membre de l'équipe.
パソコン;彼[かれ]はパソコンを２ 台[だい] 持[も]っています。;Il a deux ordinateurs personnels.
ビジネスマン;彼[かれ]はビジネスマンとして 成功[せいこう]した;Il a réussi en tant qu'homme d'affaires.
ボール;彼[かれ]はボールを 投[な]げた。;Il a lancé la balle.
マラソン;彼[かれ]はマラソンに 出場[しゅつじょう]したよ。;Il a participé au marathon.
トップブランド;彼[かれ]はもう 少[しょう]しの 所[ところ]でトップの 部[ぶ]にはいるところだった。;Il s'est rapproché du sommet (部 à deux signification possible: du classement de compétitions ou bien des dirigents d'une compagnie)
ソフトウェア;彼[かれ]らはソフトウエア 製品[せいひん]を 扱[あつか]っている。;Il travail dans le sercteur des logiciels.
ボランティア;彼[かれ]らはボランティアが 必要[ひつよう]です。;Ils ont besoin de bénévoles.
テニス;彼[かれ]らはよくテニスをしています。;Ils jouent souvent au tennis.
だが;彼にはよくあることだが、夜遅くまで起きている。;Comme à son habitude, il reste éveillé tard dans la nuit.
いいですね;彼にもわかるように、私達も英語で話した方がいいですね。;Il serait préférable que nous parlions en anglais pour qu'il puisse comprendre.
トランプをする;彼はトランプをするときがない。;Il ne joue jamais aux cartes.
もう;彼はもう宿題をやってしまった。;Il a déjà fini ses devoirs.
うまい;彼は歌を歌うのがうまい。;Il chante bien.
けれど;彼は疲れていたけれども、働くのをやめようとはしなかった。;Il était fatigué, mais il n'a pas cessé de travailler.
スーツケース;彼女[かのじょ]のスーツケースは 重[おも]すぎて 運[はこ]べません。;Sa valise est trop lourde et ne peut pas être portée.
ダイエット;彼女[かのじょ]は2 ヶ月間[かげつかん]ダイエットをしました。;Elle a suivi un régime pendant 2 mois.
ペラペラ（と）;彼女[かのじょ]は５か 国[こく] 語[ご]を、ぺらぺらと 話[はな]す。;Elle parle couramment cinq langues.
アンケート;彼女[かのじょ]はアンケートに 答[こた]えたよ。;Elle a répondu au questionnaire.
カンカン;彼女[かのじょ]はカンカンに 怒[おこ]っています。;Elle est enflammée de rage.
クラシック;彼女[かのじょ]はクラシック 音楽[おんがく]が 好[す]きです。;Elle aime la musique classique.
ダンス;彼女[かのじょ]はダンスが 大好[だいす]きです。;Elle adore danser.
コマーシャル;彼女[かのじょ]はテレビのコマーシャルに 出[で]ているわ。;Elle est passé dans une publicité télévisée.
バイオリン;彼女[かのじょ]はバイオリンを 習[なら]っています。;She's learning the violin.
ファッション;彼女[かのじょ]はファッションの 専門[せんもん] 家[か]だ。;She's a fashion expert.
スタイル;彼女[かのじょ]はモデルのようにスタイルがいいね。;Avec sa belle silhouette, elle a un style qui ressemble à un mannequin.
ユーモア;彼女[かのじょ]はユーモアのセンスがあります。;Elle a le sens de l'humour.
チェック;彼女がホテルのチェックアウトしたのって、何時だった？;À quelle heure a-t-elle quitté l'hôtel ?
トラブル;思[おも]いがけないトラブルで 出発[しゅっぱつ]が 遅[おく]れてしまった;Le départ est retardé en raison de problèmes inattendus.
ショート;怪我[けが]をしたためにショートの 選手[せんしゅ]は 出場[しゅつじょう]できなくなった。;Une blessure a réduit le nombre d'athlète annulant la participation.
トン;戦争が始まったとき、トムはボストンにいた。;Tom était à Boston lorsque la guerre a éclaté.
ポスト;手紙[てがみ]をポストに 入[い]れました。;J'ai mis la lettre dans la boîte aux lettres.
ワールドカップ;招待[しょうたい]されたが、 彼女[かのじょ]はワールドカップを 見に行[みにい]かなかった。;Bien qu'elle fût invitée, elle n'est pas allé voir la coupe du monde.
サイト;新[あたら]しいゲームサイトに 登録[とうろく]した。;Je me suis inscrit à un nouveau site de jeux.
コンピューター;新[あたら]しいコンピューターを 買[か]った。;J'ai acheté un nouvel ordinateur.
テーブル;新[あたら]しいテーブルを 買[か]いました。;J'ai acheté une nouvelle table.
フィルム;旅行[りょこう]のためにたくさんフィルムを 買[か]った。;À cause du voyage, j'ai acheté beaucoup de pellicules.
リーダー;日本[にほん]は 世界[せかい]のハイテク 産業[さんぎょう]のリーダーだ。;Le Japon est un leader dans l'industrie high-tech mondiale.
カレー;日本ではカレーが甘いです。;Au Japon, le curry est doux.
テスト;明日[あした]は 英語[えいご]のテストです。;J'ai un test d'anglais demain.
どうやら;明日[あした]はどうやら 雨[あめ]らしいよ。;Il semble qu'il pleuve demain.
ピアノ;昔[むかし]、ピアノを 習[なら]っていました。;Naguère, j'apprenais le piano.
ジャズ;昨日[きのう]の 夜[よる]、ジャズを 聴[き]きに 行[い]きました。;Je suis allé écouter un concert de jazz hier soir.
ディナー;昨日[きのう]のディナーは 高級[こうきゅう]レストランで 食[た]べた。;Hier, j'ai dîné dans un restaurant de grande classe.
ハイキング;昨日[きのう]は 友人[ゆうじん]とハイキングに 行[い]きました。;Je suis allé faire de la randonnée avec mon ami hier.
それと;昨日読んでたのって、フランス語の本？それとも英語の本？;Le livre que vous lisiez hier était-il en français ou en anglais ?
ホームシック;"時々[ときどき;h] ホームシック[;n4] で 泣[な,なく;h]いて います[,います;k2] 。";Parfois, j'ai le mal du pays et je pleure.
こうやって;普段はこうやって魚を料理してるんだよ。;Voici comment je cuisine habituellement le poisson.
アイス;暑[あつ]いのでアイスを 食[た]べました。;J'ai mangé de la crème glacée parce qu'il faisait chaud.
スイッチ;暗[かる]いのでスイッチを 押[お]して。;Puisqu'il fait sombre, appuyez sur l'interrupteur.
リズム;最近[さいきん] 彼[かれ]は 生活[せいかつ]のリズムが 乱[みだ]れています。;Sa routine quotidienne a été perturbée ces derniers temps.
シャワー;朝[あさ]、 急[いそ]いでシャワーを 浴[あ]びました。;J'ai pris une douche hâtive le matin.
カーテン;朝[あさ]、カーテンを 開[あ]けた。;J'ai ouvert les rideaux le matin.
ミーティング;朝[あさ]９ 時[じ]からミーティングが 始[はじ]まった。;Le meeting a commencé à 9 heures du matin.
パン;朝[あさ]ご 飯[はん]にはいつもパンを 食[た]べる。;Je mange toujours du pain pour le petit déjeuner.
ちゃんと;朝食[ちょうしょく]はちゃんと食[た]べましたか。;Avez-vous pris un bon petit déjeuner ?
カバー;本[ほん]にカバーを 掛[か]けました。;J'ai mis une couverture sur le livre.
ガイドブック;"本屋[ほんや;a] さん で ガイドブック[;n4] を 買[か,かう;h]いました 。";J'ai acheté un guide dans une librairie.
センチ;来世紀[らいせいき]の 終[お]わりまでに 海[うみ]は５０センチで 上昇[じょうしょう]すると 予想[よそう]される。;Les océans devraient augmenter de 50 centimètres d'ici la fin du siècle prochain.
じめじめ;梅雨時[つゆどき]はジメジメする。;Il est humide pendant la saison des pluies.
サンダル;歩[ある]き 安[やす]い サンダルを 探[さが]して います 。;Je recherche des sandales faciles à enfiler (facile pour marcher).
ラップ;残[のこ]ったものはラップして、 冷蔵庫[れいぞうこ]に 入[い]れておく。;Enveloppez les restes et mettez-les au réfrigérateur.
スープ;母[はは]がコーンスープを 作[つく]っている。;Ma mère a préparé de la soupe de maïs.
クリスマスケーキ;母[はは]はクリスマスケーキを 作[つく]ってくれた。;Ma mère m'a fait un gâteau de Noël.
ポピュラー;毎年[まいとし]およそ４５００ 種[しゅ]のポピュラーのＬＰが 登場[とうじょう]する。;Chaque année, quelque 4500 33 tours différents apparaissent.
ネットニュース;"毎日[まいにち;a] 、 ネットニュース[;n4] を 読[よ,よむ;k1]んで います[,います;k2] 。";Je lis des nouvelles en ligne tous les jours.
グダグダな;毎日[まいにち] 仕事[しごと]が 忙[いそが]しくて、もうクタクタだ。;Je suis occupé au travail tous les jours, donc je suis épuisé.
どうも;気にかけていただいてどうも。;Merci beaucoup de vous en soucier.
カップ;水[みず]を１カップ 入[い]れてください。;Veuillez remplir d'une tasse d'eau.
パンフレット;海外[かいがい] 旅行[りょこう]のパンフレットをもらって 来[き]た;J'ai reçu et ramené une brochure de voyages à l'étranger.
コイン;海外[かいがい]のコインを 集[あつ]めるのが 好[す]きだ。;J'aime collectionner les pièces d'autres pays.
ネクタイ;父[ちち]の 日[ひ]にネクタイをプレゼントした。;Je lui ai offert une cravate en cadeau pour la fête des pères.
ずっと;父[ちち]は 休[やす]みの 日[ひ]はずっとテレビを 見[み]ている。;Mon père passe ses jours de repos à regarder la télévision tout le temps.
そそっかしい;田中[たなか]さんはそそっかしくて、１ 日[にち]に３ 回[かい]はミスする。;Tanaka-san est si négligent qu'il fait trois erreurs en une journée.
ちらちら;男[おとこ]の 人[ひと]がこちらをちらちらと 見[み]ている;L'homme continue de regarder par ici.
カーペット;畳[たた]みの 上[うえ]に、カーペットを 敷[し]いている。;Il y a un tapis étalé sur les tatamis.
じゃあ;病気じゃありませんから、心配しないでください。;Je ne suis pas malade, alors ne vous inquiétez pas.
アレルギー;病院[びょういん]で、 猫[ねこ]アレルギーと 言[い]われた。;À l'hôpital, on m'a dit que j'avais une allergie aux chats.
アピール;着物[きもの]は 日本[にほん] 女性[じょせい]の 魅力[みりょく]をアピールします;Le kimono fait ressortir le charme d'une femme japonaise.
にきび;睡眠[すいみん] 不足[ぶそく]で、にきびができた。;En raison d'un manque de sommeil, des boutons ont éclaté.
ばったり;知り合いとばったり道で会った。;J'ai croisé une connaissance dans la rue.
ゲーム;私[わたし]たちはビデオゲームをした。;Nous avons joué à un jeu vidéo.
グレー;私[わたし]の 事務所[じむしょ]はあのグレーの６ 階建[かいだて]てのビルの４ 階[かい]だ。;Mon bureau est au quatrième étage de ce bâtiment gris à six étages.
ビル;私[わたし]の 会社[かいしゃ]はあのビルの８ 階[かい]です。;Mon entreprise est au huitième étage de ce bâtiment.
メモする;私[わたし]の 電話[でんわ] 番号[ばんごう]をメモしましたか。;Avez-vous noté mon numéro de téléphone?
シャープペンシル;私[わたし]のシャープペンシルがありません。;Mon criterium n'est pas là.
ネット;私[わたし]のパソコンなんかへんでネットに 乗[の]れませんでした。;Quelque chose n'allait pas avec mon ordinateur et je ne pouvais pas me connecter en ligne.
シングル;私[わたし]のベッドはシングルです;Mon lit est un lit simple.
プール;私[わたし]は 夏休[なつやす]みにプールに 行[い]った。;Je suis allé à la piscine pendant les vacances d'été.
アルバム;私[わたし]は 彼[かれ]のアルバムを 見[み]た。;J'ai vu son album.
ジーンズ;私[わたし]は 日曜日[にちようび]はたいていジーンズをはいている。;Je porte habituellement des jeans le dimanche.
コース;私[わたし]は 日本語[にほんご]コースを 取[と]っています。;Je prends un cours de japonais.
ジョギング;私[わたし]は 毎日[まいにち]ジョギングをしています。;Je fais du jogging tous les jours.
コーヒー;私[わたし]は 毎朝[まいあさ]コーヒーを 飲[の]みます。;Je bois du café tous les matins.
コップ;私[わたし]は 毎朝[まいあさ]コップ 一杯[いっぱい]の 水[みず]を 飲[の]む。;Je bois un verre d'eau tous les matins.
ラジオ;私[わたし]は 毎朝[まいあさ]ラジオを 聴[き]きます。;J'écoute la radio tous les matins.
ジャズダンス;私[わたし]は 舞踏[ぶとう] 家[いえ]が 職業[しょくぎょう]で、ジャズダンスを 教[おし]えています。;Je suis danseur par métier et j'enseigne la danse du jazz.
バッグ;私[わたし]は 黒[くろ]いバッグを 持[も]っています。;Je possède un sac noir.
プリンター;私[わたし]はきのうこのプリンターを 買[か]った。;J'ai acheté cette imprimante hier.
ノートパソコン;私[わたし]はこのノートパソコンを、８ 年[ねん]も 使[つか]っている。;J'utilise mon ordinateur portable depuis huit ans maintenant.
ビデオ;私[わたし]はその 番組[ばんぐみ]をビデオに 撮[と]った。;J'ai enregistré ce programme en vidéo.
タオル;私[わたし]はタオルで 顔[かお]をふいた。;J'ai essuyé mon visage avec une serviette.
デパート;私[わたし]はデパートで 靴[くつ]を 買[か]った。;J'ai acheté une paire de chaussures au grand magasin.
テレビ;私[わたし]はテレビをあまり 見[み]ません。;Je ne regarde pas beaucoup de télé.
ドラマ;私[わたし]はドラマを 見[み]るのが 好[す]きです。;J'aime regarder des séries TV.
ノンフィクション;私[わたし]はノンフィクションをよく 読[よ]みます;Je lis souvent des oeuvres documentaires.
パリ;私[わたし]はパリに 10回[じゅっかい]しか 行[い]ったことがありません。;Je ne suis allé à Paris qu'une dizaine de fois.
プレゼント;私が買ったプレゼント、トムは気に入ると思う？;Penses-tu que Tom aimera le cadeau que je lui ai acheté ?
デスクトップパソコン;私はノートパソコンとデスクトップパソコンの二台のコンピューターを持っている。;Je possède deux ordinateurs : un ordinateur portable et un ordinateur de bureau.
すると;空[そら]が 急[きゅう]に 暗[くら]くなりました。すると、 大雨[おおあめ]が 降[ふ]ってきました。;Le ciel s'est soudain assombri. Après cela, il s'est mis à pleuvoir abondamment.
ライト;突然[とつぜん]ライトが 消[き]えた。;Tout à coup, les lumières s'éteignirent.
ストライプ;細[ほそ]いストライプの T[ティー]シャツを 買[か]った。;J'ai acheté un T-shirt à fines rayures.
レンタル;結婚式[けっこんしき]のドレスは、レンタルにした。;J'ai loué une robe pour le mariage.
が、;美[うつく]しい 街[まち]ですが、 火事[かじ]になりました。;C'est une belle ville mais elle a subi un incendie.
マッサージ;肩凝[かたこ]りが 酷[ひど]いので、マッサージしてもらった。;Mes épaules raides étaient assez mauvaises, alors j'ai eu un massage.
レベル;自分[じぶん]のレベルに 合[あ]った 授業[じゅぎょう]を 選[えら]んでください。;Please choose a class suitable to your level.
マスク;花粉[かふん] 症[しょう]の 季節[きせつ]は、マスクをする。;Je porte un masque pendant la saison du rhume des foins.
エネルギー;若者[わかもの]たちはエネルギーにあふれていますね。;Les jeunes sont toujours plein d'énergie.
パワー;若者[わかもの]のパワーが、これからの 社会[しゃかい]をつくる。;Le pouvoir des jeunes construit l'avenir de la société.
ホームページ;行[い]きたい 会社[かいしゃ]のホームページをチェックする。;Je vais vérifier la page d'accueil de l'entreprise vers laquelle je veux aller.
すっと;言[い]いたいことを 言[い]ったら 胸[むね]がすっとした。;"Je me suis senti soulagé (directement; tranquillement) après avoir dit ce que je voulais dire."
ジェスチャー;言葉[ことば]が 通[つう]じない 場合[ばあい]は、ジェスチャーで 伝[つた]える。;Lorsque les mots ne fonctionnent pas pour la communication, utilisez des gestes.
がっかり;試験の結果が悪くて、がっかりした。;J'étais déçu que mes résultats à l'examen soient mauvais.
ケーキ;誕生[たんじょう] 日[び]にケーキを 食[た]べました。;Nous avons mangé du gâteau à son anniversaire.
ハンバーグ;"豆腐[とうふ;o,h] の ハンバーグ[;n3] は 体[からだ;h] に いい[,いい;k1] です 。";Le steak haché au tofu est bon pour vous.
たった;財布[さいふ]の 中[なか]にたった１０００ 円[えん]しかないよ。;J'ai seulement 1000 yens dans mon porte-monnaie.
ポケット;財布[さいふ]をポケットにしまった。;J'ai mis mon portefeuille dans ma poche.
すっかり;買[か]い 物[もの]をすっかり 忘[わす]れてい た。;J'ai complètement oublié les courses.
カード;買[か]いものはカードでお 願[ねが]いします。;Veuillez payer vos courses par carte de crédit.
ミルク;赤[あか]ちゃんにミルクをあげた。;J'ai nourri le bébé avec du lait.
か;赤いか青い。 ;Rouge ou bleu.
ガソリン;車[くるま]にガソリンを 入[い]れました。;J'ai mis de l'essence dans ma voiture.
エンジン;車[くるま]のエンジンが 調子[ちょうし] 悪[わる]い。;Le moteur de la voiture est en mauvais état.
キー;車[くるま]のキーがない;Je n'ai pas de clés de voiture.
トランク;車[くるま]のトランクに、ゴルフの 道具[どうぐ]が 入[はい]っている。;Il y a du matériel de golf dans le coffre de la voiture.
モーター;車[くるま]のモーターを 修理[しゅうり]したぜ。;J'ai réparé le moteur de la voiture.
できれば;遅れを取り戻す事ができればよいのに。;J'aimerais que nous puissions rattraper le temps perdu.
オリジナリティー;違[ちが]う 違[ちが]う。オリジナリティがあるっていうか。;No, no. I mean to say that it has originality.
チームワーク;野球[やきゅう]の 最[もっと]もすばらしいところはチームワークだ。;La plus belle chose à propos du baseball est le travail d'équipe.
ザーザー;雨[あめ]がザーザー降[ふ]っている。;Il pleut.
スリップ;雨[あめ]の 日[ひ]はスリップ 事故[じこ]が 多[おお]い;Les jours de pluie, il y'a beaucoup d'accident suite à une perte d'adhérence.
メキシコ;飛行機[ひこうき]でメキシコへ 旅行[りょこう]した。;Nous sommes allé au Méxique par avion.
マナー;食事[しょくじ]のマナーを 守[まも]りましょう。;Nous devrions observer les manières de la table.
カロリー;食品[しょくひん]のカロリーが、とても 気[き]になる。;Je suis vraiment préoccupé par les calories dans les aliments.
キャプテン;高校[こうこう]３ 年[ねん]の 時[とき]、キャプテンだった。;Quand j'étais en troisième année de lycée, j'étais capitaine.
サケ;鮭[さけ]は 川[かわ]をさかのぼって 砂[すな]に 産卵[さんらん]する。;Les saumons remontent la rivière et pondent leurs œufs dans le sable.
物真似[ものまね];「いつも何してるの？」「毎日一日中物真似の練習をしてるよ。」;"Qu'est-ce que vous faites chaque jour? ""Je pratique des imitations toute la journée, tous les jours."""
鬱陶しい[うっとうしい];「この女マジ鬱陶しいんだけど。」「よー。気にすんなって。」;Cette fille est tellement déprimante. « Yo, ne t'inquiète pas pour ça.
河豚[ふぐ];「豆腐と河豚のサンドイッチをお願いします。」 「同じく。」;"Je prendrai un sandwi au poisson-globe et au tofu ""Je prendrai le même."""
矢張り[やはり];"Δ il y'a une nuance: après avoir réfléchi ; Δ cette forme est utilisée en discours soutenue. en discour parlé on utilise やぱり    彼[かれ]はやはり 遅刻[ちこく]しました。";Il était en retard, comme prévu.
呆け[ぼけ];あいつは色呆けしてるんだよ。;Ce mec est obsédé par le sexe.
巡る[めぐる];あした から おんせん を めぐる たび に でます;Je vais faire un tour des sources chaudes demain.
彼処[あそこ];あそこに 人[ひと]が います。;Il y a une personne là-bas.
辛子[からし];あなたすごく考えすぎてるのよ。さっさと辛子を口の中に放り込んじゃいなさいよ。きっとそこまで辛くないわよ。;Tu penses à ça aussi mu Jette juste la moutarde dans ta bouche. Il ne fait sûrement pas si chaud.
貴方[あなた];あなたはアメリカ 人[じん]ですか;es-tu américain ?
いらっしゃいませ;あなたも私たちと一緒にいらっしゃいませんか。;Ne viendriez-vous pas avec nous  (Respectueux)
何処[どこ];あの 本[ほん]をどこに 置[お]きましたか。;Où avez-vous mis ce livre-là ?
彼の[あの];あのワインのボタルはいくらですか。;Combien coûte cette bouteille de vin, là-bas ?
呆ける[ぼける];あの芸人は呆けるのが本当にうまい。;Cet acteur est vraiment doué pour jouer les séniles.
予め[あらかじめ];あらかじめ ひつよう な もの を かきだして ください;Veuillez noter à l'avance ce dont vous avez besoin.
蟻[あり];あり の むれ が さとう に たかっている 。;L'armée de fourmis grouille autour du sucre.
喋る[しゃべる];いつも 誰[だれ]かが 喋[しゃべ]っている。|かのじょ は よく しゃべる ね;Il y a toujours quelqu'un qui parle.
徒[ただ];いまさら 後悔[こうかい]しても 無駄[むだ]だ。;Il est inutile de le regretter maintenant.
繋ぐ[つなぐ];いんたーねっと は せかい の ひとびと を つなぎます ね;Internet relie les gens du monde entier.
雄[おす];うち の ねこ は おす です;Notre chat est un mâle.
御免なさい[ごめんなさい];おくれて ごめん|御免なさい。このＴシャツのMサイズは売り切れちゃったんです。;Je suis désolé d'être en retard.|Je suis désolé. Nous n'avons plus de tailles moyennes pour cette chemise.
水仙[すいせん];お墓の真後ろに、水仙の花々が咲いていました。;Il y avait des jonquilles en fleurs juste derrière la tombe.
玩具[おもちゃ];お母さんは私に玩具[おもちゃ]をくれました。;Ma mère m'a donné un jouet.
蟹[かに];お腹がすいてきた。晩ご飯の蟹が楽しみだ。;J'ai faim. J'ai hâte d'avoir du crabe pour le dîner.
微か[かすか];かいか から かすか な おと が きこえた;J'ai entendu un léger bruit venant d'en bas.
喉[のど];かぜ を ひいて のど が いたい です;J'ai attrapé froid et j'ai mal à la gorge.
括弧[かっこ];かっこ の ぶぶん は しょうりゃく できます;La partie entre parenthèses peut être omise.
兼ねる[かねる];かのじょ は ひしょ と じむ の たんとう を かねて います;Elle s'occupe à la fois du secrétariat et du secrétariat.
南瓜[かぼちゃ];かぼちゃの すーぷ は おいしい です;La soupe au potiron est délicieuse.
屑[くず];かれ の せびろ に いとくず が ついて いる わ;Il a des peluches sur son costume.
敢えて[あえて];かれ は あえて きけん を おかした;Il a osé affronter le danger.
胡座[あぐら];かれ は あぐら を かいて しゃべって います ね;Il parle assis les jambes croisées.
骨[ほね];かれ は あし の ほね を おりました;Il s'est cassé un os du pied.
弾く[ひく];かれ は ぎたー を ひきます;Il joue de la guitare.
寧ろ[むしろ];かれ は けんちくか と いう より むしろ げいじゅつか ね;C'est un artiste plutôt qu'un architecte.
頻りに[しきりに];かれ は しきりに とけい を き に して いた;Il ne cesse de regarder l'horloge.
懸ける[かける];かれ は しごと に いのち を かけている の 。;Il risque sa vie dans son travail.
煙草[たばこ];かれ は たばこ を すいません;Il ne fume pas.
潜る[もぐる];かれ は ながい あいだ うみ に もぐって いた の;Il a longtemps plongé dans la mer.
丸で[まるで];かれ は まるで こども の よう に はしゃいだ よ;Il a gambadé comme un gosse.
巧い[うまい];かれ は やきゅう が うまい;Il est bon au baseball.
麓[ふもと];かれ は やま の ふもと に すんで いる よ;Il vit au pied d'une montagne.
吐く[はく];かれ は らんぼう な ことば を はいた ぞ;Il a crié des mots durs.
態と[わざと];かれ は わざと まけた よう に みえた な;On dirait qu'il a perdu exprès.
狐[きつね];かわいい狐が茂みからひょこっと顔を出した。;Un mignon renard a soudainement sorti sa tête du fourré.
若布[わかめ];かん国ではたん生日には若布スープを飲む習かんがあります。;En Corée, il est de coutume d'avoir de la soupe wakame le jour de votre anniversaire.
烏[からす];き の うえ で からす が ないて います;Le corbeau croasse sur l'arbre.
熟[つくづく];きて よかったと つくづく おもいます;J'ai vraiment l'impression que c'était bien de venir.
怠い[だるい];きのう は かぜ で すこし だるかった ん だ|少[すこ]し 寝[ね]たら、 体[からだ]のだるさが 少[すこ]しとれた。;Hier, je me suis senti épuisé parce que j'avais un rhume.|Après avoir dormi un peu, la paresse a quelque peu disparu.
胡瓜[きゅうり];きゅうり に みそ を つけて たべた の;J'ai mangé du concombre avec du miso dessus.
無くす[なくす];きょう かぎ を なくしました;J'ai perdu ma clé aujourd'hui.
麒麟[きりん];きりんの 首[くび]は 長[なが]い;Les girafes ont le cou long.
踵[かかと];くつ の かかと で かれ の あし を ふん でしまった の 。;J'ai fini par marcher sur son pied avec le talon de ma chaussure.
達[たち];コウイチ達、一体どこに行ったんだろう。;Je me demande où sont allés Koichi et les autres.
銘々[めいめい];こうつうひ は めいめい しはらって ください;Veuillez payer le tarif individuellement.
判子[はんこ];ここ に はんこ を おして ください;Veuillez apposer ici votre sceau personnel.
此処[ここ];ここから近い;Depuis ici, c’est proche.
苺[いちご];この いちご は とても あまい;Cette fraise est très sucrée.
只[ただ];この おんせん は ただ です;Cette source chaude est gratuite.
面倒臭い[めんどうくさい];この けいさん は めんどうくさい なあ;Ce calcul est gênant.
どれ;この なか で どれ が すき です か;Lequel de ceux-ci aimez-vous?
雌[めす];この ねこ は めす です;Ce chat est une femelle.
迚も[とても];この 本[ほん]はとてもおもしろい。;Ce livre est très intéressant.
幾ら[いくら];この 果物[くだもの]はいくらですか？;Combien coûte ce fruit ?
丁度いい[ちょうどいい];この 柔[やわ]らかいブランケットは 赤[あか]ちゃんにちょうどいい。;Cette couverture douce est parfaite pour votre bébé.
美味しい[おいしい];このケーキは 美味[おい]しいね。;Ce gâteau est délicieux.
無し[なし];このブドウはたね無しだから食べやすいですよ。;Ces raisins sont sans pépins, ils sont donc faciles à manger.
蜜柑[みかん];このみかんは カラフルだ。;Ces mandarines sont colorées.
堪える[こらえる];この作品は読むに堪えない出来栄えだ。;Au final, je n'ai pas supporté la lecture de l'ouvrage.
気違い[きちがい];この吹雪の中、パンツ一丁で踊るなんて、気違いにも程がある。;Danser dans une tempête de neige sans rien d'autre que votre slip est tout simplement trop fou.
聡い[さとい];この子は本当に聡い子だよ。;C'est un enfant vraiment intelligent.
染み[しみ];この染みなんとか取れないかなあ。|ほほに 小[ちい]さなしみができた。;N'avez-vous pas trouvé un moyen d'enlever cette tache ? J'ai développé une petite tache sur ma joue.
蓮花[れんげ];この池にはいつから蓮花があるのですか。;Depuis combien de temps les fleurs de lotus sont-elles dans cet étang ?
梨[なし];この洋梨のマカロンは、お好みで冷やしても美味しく御賞味頂けます。;Ces macarons aux poires Bartlett peuvent également être réfrigérés si vous le souhaitez.
此の[この];この猫ですね。;C'est ce chat-ci, n'est-ce pas ?
畜生[ちくしょう];この畜生め！何でシラチャソースを俺のベッドにぶちまけやがったんだ！;Espèce de fils de pute stupide ! Comment osez-vous vaporiser de la sauce sriracha sur mon lit !
拠る[よる];この病気はウイルスの感染によって起こる。;Cette maladie est causée par une infection virale.
